timeStep	 cellsAll	 cellsNonEmpty	 DVlen	 APlen	 APDVratio	 nT1	 nT2	 nD	 CPUtime 
0	100	100	10.7457	9.30605	0.866025	0	0	0	0.0100131
1	112	106	7.24972	9.18986	1.26762	0	0	6	0.329617
2	112	106	7.29542	9.13628	1.25233	0	0	0	0.653453
3	114	107	7.39166	9.08733	1.2294	0	0	1	0.985776
4	114	107	7.51876	9.04245	1.20265	0	0	0	1.31166
5	114	107	7.66706	9.00087	1.17397	0	0	0	1.69495
6	114	107	7.83565	8.96289	1.14386	0	0	0	2.02864
7	120	110	7.94476	8.92724	1.12366	0	0	3	2.35459
8	122	111	8.08138	8.89536	1.10072	1	0	1	2.68606
9	126	113	8.19182	8.86751	1.08248	0	0	2	3.02989
10	132	116	8.26733	8.84054	1.06933	1	0	3	3.37363
11	132	116	8.26735	8.84051	1.06933	0	0	0	3.7528
12	132	116	4.75845	8.624	1.81235	0	0	0	4.11797
13	132	116	4.86336	8.44507	1.73647	0	0	0	4.51998
14	132	116	4.95985	8.27818	1.66904	1	0	0	4.89536
15	132	116	5.09524	8.1212	1.59388	1	0	0	5.2954
16	132	116	5.22302	7.97569	1.52703	0	0	0	5.68864
17	132	116	5.34432	7.84198	1.46735	2	0	0	6.06048
18	132	116	5.46699	7.71681	1.41153	0	0	0	6.44375
19	132	116	5.55185	7.60102	1.3691	0	0	0	6.82578
20	132	116	5.68937	7.49315	1.31704	0	0	0	7.20886
21	132	116	5.8007	7.39308	1.27452	0	0	0	7.58852
22	132	116	5.92465	7.3021	1.23249	0	0	0	7.95074
23	132	116	6.04176	7.22008	1.19503	1	0	0	8.31518
24	132	116	6.1516	7.14825	1.16202	4	0	0	8.68814
25	132	116	6.2566	7.08488	1.13239	0	0	0	9.05333
26	132	116	6.36086	7.02913	1.10506	0	0	0	9.41871
27	132	116	6.49164	6.98028	1.07527	0	0	0	9.79136
28	132	116	6.62408	6.93697	1.04724	1	0	0	10.1578
29	132	116	6.72867	6.90057	1.02555	0	0	0	10.5183
30	132	116	6.8527	6.86999	1.00252	0	0	0	10.8925
31	134	117	6.89643	6.84276	0.992217	0	0	1	11.2601
